model,phenomenon,good,correct_native,correct_morphemic
BSC-LT/salamandra-2b,gender_art,senyora,1,0
BSC-LT/salamandra-2b,gender_art,filla,1,0
BSC-LT/salamandra-2b,gender_adj,bonica,1,0
BSC-LT/salamandra-2b,gender_adj,contenta,1,0
BSC-LT/salamandra-2b,gender_adj,llarga,1,1
BSC-LT/salamandra-2b,gender_adj,bona,1,0
BSC-LT/salamandra-2b,gender_adj,blanca,1,0
BSC-LT/salamandra-2b,gender_adj,oberta,1,1
BSC-LT/salamandra-2b,nadj_number,bonics,1,0
BSC-LT/salamandra-2b,nadj_number,noves,1,0
BSC-LT/salamandra-2b,nadj_number,interessants,1,0
BSC-LT/salamandra-2b,nadj_number,alts,1,0
BSC-LT/salamandra-2b,nadj_number,vermelles,1,0
BSC-LT/salamandra-2b,nadj_number,simpàtics,1,0
